"2017 NAICS Code","2017 NAICS Title","GHG","Unit","Supply Chain Emission Factors without Margins","Margins of Supply Chain Emission Factors","Supply Chain Emission Factors with Margins","Reference USEEIO Code"
211120,"Crude Petroleum Extraction","All GHGs","kg CO2e/2021 USD, purchaser price",0.772,0.058,0.83,"211000"
211130,"Natural Gas Extraction","All GHGs","kg CO2e/2021 USD, purchaser price",0.772,0.058,0.83,"211000"
212111,"Bituminous Coal and Lignite Surface Mining","All GHGs","kg CO2e/2021 USD, purchaser price",1.746,0.27,2.016,"212100"
212112,"Bituminous Coal Underground Mining","All GHGs","kg CO2e/2021 USD, purchaser price",1.746,0.27,2.016,"212100"
212113,"Anthracite Mining","All GHGs","kg CO2e/2021 USD, purchaser price",1.746,0.27,2.016,"212100"
212210,"Iron Ore Mining","All GHGs","kg CO2e/2021 USD, purchaser price",1.112,0.121,1.233,"2122A0"
212221,"Gold Ore Mining","All GHGs","kg CO2e/2021 USD, purchaser price",1.112,0.121,1.233,"2122A0"
212222,"Silver Ore Mining","All GHGs","kg CO2e/2021 USD, purchaser price",1.112,0.121,1.233,"2122A0"
212230,"Copper, Nickel, Lead, and Zinc Mining","All GHGs","kg CO2e/2021 USD, purchaser price",1.082,0.084,1.165,"212230"
212291,"Uranium-Radium-Vanadium Ore Mining","All GHGs","kg CO2e/2021 USD, purchaser price",1.112,0.121,1.233,"2122A0"
212299,"All Other Metal Ore Mining","All GHGs","kg CO2e/2021 USD, purchaser price",1.112,0.121,1.233,"2122A0"
212311,"Dimension Stone Mining and Quarrying","All GHGs","kg CO2e/2021 USD, purchaser price",0.214,0.108,0.323,"212310"
212312,"Crushed and Broken Limestone Mining and Quarrying","All GHGs","kg CO2e/2021 USD, purchaser price",0.214,0.108,0.323,"212310"
212313,"Crushed and Broken Granite Mining and Quarrying","All GHGs","kg CO2e/2021 USD, purchaser price",0.214,0.108,0.323,"212310"
212319,"Other Crushed and Broken Stone Mining and Quarrying","All GHGs","kg CO2e/2021 USD, purchaser price",0.214,0.108,0.323,"212310"
212321,"Construction Sand and Gravel Mining","All GHGs","kg CO2e/2021 USD, purchaser price",0.485,0.207,0.692,"2123A0"
212322,"Industrial Sand Mining","All GHGs","kg CO2e/2021 USD, purchaser price",0.485,0.207,0.692,"2123A0"
212324,"Kaolin and Ball Clay Mining","All GHGs","kg CO2e/2021 USD, purchaser price",0.485,0.207,0.692,"2123A0"
212325,"Clay and Ceramic and Refractory Minerals Mining","All GHGs","kg CO2e/2021 USD, purchaser price",0.485,0.207,0.692,"2123A0"
212391,"Potash, Soda, and Borate Mineral Mining","All GHGs","kg CO2e/2021 USD, purchaser price",0.485,0.207,0.692,"2123A0"
212392,"Phosphate Rock Mining","All GHGs","kg CO2e/2021 USD, purchaser price",0.485,0.207,0.692,"2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","All GHGs","kg CO2e/2021 USD, purchaser price",0.485,0.207,0.692,"2123A0"
212399,"All Other Nonmetallic Mineral Mining","All GHGs","kg CO2e/2021 USD, purchaser price",0.485,0.207,0.692,"2123A0"
213111,"Drilling Oil and Gas Wells","All GHGs","kg CO2e/2021 USD, purchaser price",0.519,0,0.519,"213111"
213112,"Support Activities for Oil and Gas Operations","All GHGs","kg CO2e/2021 USD, purchaser price",0.51,0,0.51,"21311A"
213113,"Support Activities for Coal Mining","All GHGs","kg CO2e/2021 USD, purchaser price",0.51,0,0.51,"21311A"
213114,"Support Activities for Metal Mining","All GHGs","kg CO2e/2021 USD, purchaser price",0.51,0,0.51,"21311A"
